"anchor_id","anchor_hog","profile_standardization","n_matched_contexts","n_common_profiled_hogs","n_excluded_module_family_hogs","n_background_hogs","n_standardized_features","kernel_rank","eigenvalue_1","eigenvalue_2","variance_fraction_pc1","variance_fraction_pc2","similarity_trait_correlation","similarity_phylogenetic_pair_correlation","mean_similarity_same_trait","mean_similarity_different_trait","mean_similarity_same_phylogenetic_pair","mean_similarity_other_pair"
"anchor_01","HOG:0020610","within_tissue",10,1499,157,1342,13420,7,1.29150650928392,1.14178798844637,0.184500929897703,0.163112569778053,0.00727452240334817,0.10812788448168,-0.124595990811303,-0.125303006891522,-0.112261135445612,-0.127123144092398
"anchor_02","HOG:0020076","within_tissue",10,1499,147,1352,13520,7,1.29278458983891,1.14101600576359,0.18468351283413,0.163002286537655,0.00628932340016094,0.110763613973434,-0.124649956314876,-0.125262532763843,-0.111922591362602,-0.127179568106233
"anchor_03","HOG:0011532","within_tissue",10,1499,147,1352,13520,7,1.29294743208632,1.13997659789488,0.184706776012332,0.162853799699268,0.0086039320598295,0.111043500911889,-0.124522111270985,-0.125358416546761,-0.111916340961276,-0.127180609839787
"anchor_04","HOG:0019394","within_tissue",10,1499,156,1343,13430,7,1.2934651673096,1.14021285754717,0.184780738187085,0.162887551078167,0.00447835671141144,0.109722030076234,-0.124750291817724,-0.125187281136707,-0.112021808404821,-0.12716303193253
"anchor_05","HOG:0006205","within_tissue",10,1499,144,1355,13550,7,1.29352017681817,1.13803640897169,0.184788596688311,0.162576629853098,0.00447614724731268,0.109619945479889,-0.124751621490852,-0.125186283881861,-0.112096560498105,-0.127150573250316
"anchor_06","HOG:0028766","within_tissue",10,1499,149,1350,13500,7,1.29410928943766,1.14069661742857,0.184872755633951,0.162956659632653,0.01100441180623,0.110376629550365,-0.124385635218712,-0.125460773585966,-0.111927975212176,-0.12717867079797
"anchor_07","HOG:0011862","within_tissue",10,1499,151,1348,13480,7,1.2924976790106,1.1414561830805,0.184642525572943,0.1630651690115,0.00609830497552546,0.111194736071154,-0.124660625599051,-0.125254530800711,-0.111873152920564,-0.127187807846572
"anchor_08","HOG:0006123","within_tissue",10,1499,149,1350,13500,7,1.29560786914572,1.13961316213408,0.185086838449388,0.162801880304868,0.013117600066212,0.106342242879447,-0.124266114170881,-0.125550414371839,-0.112379220222838,-0.127103463296194
"anchor_09","HOG:0029484","within_tissue",10,1499,140,1359,13590,7,1.29514900756553,1.13908351973773,0.185021286795075,0.162726217105389,0.000812140257278403,0.111778304451241,-0.124954678468484,-0.125033991148637,-0.111767639842743,-0.127205393359543
"anchor_10","HOG:0023085","within_tissue",10,1499,142,1357,13570,7,1.2940673801552,1.13976966953421,0.1848667685936,0.162824238504887,0.00740074077131352,0.111545294520363,-0.124587447171068,-0.125309414621699,-0.111809480854449,-0.127198419857592
"anchor_11","HOG:0026770","within_tissue",10,1499,142,1357,13570,7,1.29323739721934,1.13980520594921,0.184748199602763,0.162829315135602,0.00506846641426238,0.11470839467626,-0.124718042262262,-0.125211468303303,-0.111463421591856,-0.127256096401357
"anchor_12","HOG:0012056","within_tissue",10,1499,142,1357,13570,7,1.29626421209934,1.1390752361128,0.185180601728477,0.1627250337304,0.0081555436069248,0.112630690007402,-0.124543350817235,-0.125342486887073,-0.111621951312248,-0.127229674781292
