"species","tissue","time_point","context","n_replicates"
"BDIS","leaf","T1","leaf::T1",4
"BMAX","leaf","T1","leaf::T1",4
"BMED","leaf","T1","leaf::T1",4
"BSYL","leaf","T1","leaf::T1",4
"FPRA","leaf","T1","leaf::T1",4
"HJUB","leaf","T1","leaf::T1",4
"HVUL","leaf","T1","leaf::T1",4
"VBRO","leaf","T1","leaf::T1",4
"BDIS","leaf","T2","leaf::T2",4
"BMAX","leaf","T2","leaf::T2",4
"BMED","leaf","T2","leaf::T2",4
"BSYL","leaf","T2","leaf::T2",4
"FPRA","leaf","T2","leaf::T2",4
"HJUB","leaf","T2","leaf::T2",4
"HVUL","leaf","T2","leaf::T2",4
"VBRO","leaf","T2","leaf::T2",4
"BDIS","leaf","T3","leaf::T3",4
"BMAX","leaf","T3","leaf::T3",4
"BMED","leaf","T3","leaf::T3",4
"BSYL","leaf","T3","leaf::T3",4
"FPRA","leaf","T3","leaf::T3",4
"HJUB","leaf","T3","leaf::T3",4
"HVUL","leaf","T3","leaf::T3",4
"VBRO","leaf","T3","leaf::T3",3
"BDIS","leaf","T4","leaf::T4",4
"BMAX","leaf","T4","leaf::T4",4
"BMED","leaf","T4","leaf::T4",4
"BSYL","leaf","T4","leaf::T4",4
"FPRA","leaf","T4","leaf::T4",4
"HJUB","leaf","T4","leaf::T4",4
"HVUL","leaf","T4","leaf::T4",4
"VBRO","leaf","T4","leaf::T4",4
"BDIS","leaf","T5","leaf::T5",4
"BMAX","leaf","T5","leaf::T5",4
"BMED","leaf","T5","leaf::T5",4
"BSYL","leaf","T5","leaf::T5",4
"FPRA","leaf","T5","leaf::T5",4
"HJUB","leaf","T5","leaf::T5",4
"HVUL","leaf","T5","leaf::T5",4
"VBRO","leaf","T5","leaf::T5",4
"BDIS","root","T1","root::T1",4
"BMAX","root","T1","root::T1",4
"BMED","root","T1","root::T1",4
"BSYL","root","T1","root::T1",4
"FPRA","root","T1","root::T1",4
"HJUB","root","T1","root::T1",4
"HVUL","root","T1","root::T1",4
"VBRO","root","T1","root::T1",4
"BDIS","root","T2","root::T2",4
"BMAX","root","T2","root::T2",4
"BMED","root","T2","root::T2",4
"BSYL","root","T2","root::T2",4
"FPRA","root","T2","root::T2",4
"HJUB","root","T2","root::T2",4
"HVUL","root","T2","root::T2",4
"VBRO","root","T2","root::T2",4
"BDIS","root","T3","root::T3",4
"BMAX","root","T3","root::T3",4
"BMED","root","T3","root::T3",4
"BSYL","root","T3","root::T3",4
"FPRA","root","T3","root::T3",4
"HJUB","root","T3","root::T3",4
"HVUL","root","T3","root::T3",4
"VBRO","root","T3","root::T3",3
"BDIS","root","T4","root::T4",4
"BMAX","root","T4","root::T4",4
"BMED","root","T4","root::T4",4
"BSYL","root","T4","root::T4",4
"FPRA","root","T4","root::T4",4
"HJUB","root","T4","root::T4",4
"HVUL","root","T4","root::T4",4
"VBRO","root","T4","root::T4",4
"BDIS","root","T5","root::T5",4
"BMAX","root","T5","root::T5",4
"BMED","root","T5","root::T5",4
"BSYL","root","T5","root::T5",4
"FPRA","root","T5","root::T5",4
"HJUB","root","T5","root::T5",4
"HVUL","root","T5","root::T5",4
"VBRO","root","T5","root::T5",4
