"anchor_id","anchor_hog","tissue","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_01","HOG:0020610","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.72854952442182,0.764548396426448,-0.0359988720046277
"anchor_01","HOG:0020610","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.829058693378147,0.69976086247057,0.129297830907577
"anchor_01","HOG:0020610","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.78508431771336,0.736589061260908,0.0484952564524529
"anchor_01","HOG:0020610","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.81644713670177,0.790256840293883,0.0261902964078867
"anchor_01","HOG:0020610","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.156403181994594,-0.33471631731968,0.178313135325086
"anchor_01","HOG:0020610","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.570056470518816,-0.153864829233296,-0.41619164128552
"anchor_01","HOG:0020610","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.200871536370581,-0.140446614213292,-0.0604249221572893
"anchor_01","HOG:0020610","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.282440678186193,-0.28391896554783,0.00147828736163647
"anchor_01","HOG:0020610","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.653417271457515,-0.676604230445755,0.0231869589882399
"anchor_01","HOG:0020610","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.637893092914906,-0.688856418722818,0.0509633258079115
"anchor_01","HOG:0020610","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.642670897400467,-0.63882534205261,-0.00384555534785613
"anchor_01","HOG:0020610","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.635514389139278,-0.632829467448772,-0.00268492169050594
"anchor_01","HOG:0020610","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.016562160831061,-0.105156843263293,0.121719004094354
"anchor_01","HOG:0020610","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.0126469293302045,0.0391009489869716,-0.0264540196567671
"anchor_01","HOG:0020610","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.0732132123136506,-0.0540103543264528,0.127223566640103
"anchor_01","HOG:0020610","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.0276780080468408,-0.000847109745324759,0.0285251177921656
"anchor_02","HOG:0020076","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.723221914673157,0.755159101534436,-0.0319371868612787
"anchor_02","HOG:0020076","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.817337940745185,0.686401365566599,0.130936575178586
"anchor_02","HOG:0020076","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.774184869494429,0.733420701561174,0.0407641679332547
"anchor_02","HOG:0020076","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.817665161790395,0.798846153598033,0.0188190081923619
"anchor_02","HOG:0020076","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.130538154175032,-0.318941194151179,0.188403039976147
"anchor_02","HOG:0020076","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.527286192966837,-0.116984408802908,-0.41030178416393
"anchor_02","HOG:0020076","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.195042270091153,-0.137485196961627,-0.0575570731295267
"anchor_02","HOG:0020076","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.262124844433963,-0.241737952923855,-0.0203868915101075
"anchor_02","HOG:0020076","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.659749262142226,-0.689119644778861,0.0293703826366349
"anchor_02","HOG:0020076","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.642145868810672,-0.701893229306158,0.0597473604954867
"anchor_02","HOG:0020076","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.644956448424227,-0.63960529783106,-0.00535115059316638
