"anchor_id","anchor_hog","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_01","HOG:0020610","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.859872611464968,0.700636942675159,0.159235668789809
"anchor_01","HOG:0020610","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.853503184713376,0.904458598726115,-0.0509554140127388
"anchor_01","HOG:0020610","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.86624203821656,0.828025477707006,0.0382165605095541
"anchor_01","HOG:0020610","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.808917197452229,0.929936305732484,-0.121019108280255
"anchor_01","HOG:0020610","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.889203495052054,0.718920243201478,0.170283251850576
"anchor_01","HOG:0020610","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.878737873728255,0.935528292347566,-0.0567904186193109
"anchor_01","HOG:0020610","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.89377731621194,0.857149148656139,0.0366281675558008
"anchor_01","HOG:0020610","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.833288711255455,0.964886002030179,-0.131597290774724
"anchor_01","HOG:0020610","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.771365395245992,0.674228523769808,0.0971368714761841
"anchor_01","HOG:0020610","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.689933789698126,0.830386574767755,-0.14045278506963
"anchor_01","HOG:0020610","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.701525054466231,0.80035778175313,-0.0988327272868996
"anchor_01","HOG:0020610","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.725409323834521,0.79348134152102,-0.0680720176864996
"anchor_01","HOG:0020610","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_01","HOG:0020610","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_01","HOG:0020610","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_01","HOG:0020610","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_02","HOG:0020076","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.897959183673469,0.72108843537415,0.17687074829932
"anchor_02","HOG:0020076","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.836734693877551,0.931972789115646,-0.0952380952380952
"anchor_02","HOG:0020076","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.863945578231292,0.884353741496599,-0.0204081632653061
"anchor_02","HOG:0020076","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.843537414965986,0.918367346938776,-0.0748299319727891
