"hog","n_species_neighbor","n_species_testable","fraction_represented","is_recurrent","role","anchor_id"
"HOG:0000016",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0000036",2,8,0.25,FALSE,"neighbor","anchor_01"
"HOG:0000178",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0000191",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0000205",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0000226",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0000240",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0000322",4,8,0.5,TRUE,"neighbor","anchor_01"
"HOG:0000465",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0000537",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0003533",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0003541",3,8,0.375,FALSE,"neighbor","anchor_01"
"HOG:0003782",6,8,0.75,TRUE,"neighbor","anchor_01"
"HOG:0004085",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0004192",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0004231",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0004305",5,8,0.625,TRUE,"neighbor","anchor_01"
"HOG:0005589",7,8,0.875,TRUE,"neighbor","anchor_01"
"HOG:0005639",2,8,0.25,FALSE,"neighbor","anchor_01"
"HOG:0005788",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0005833",2,8,0.25,FALSE,"neighbor","anchor_01"
"HOG:0005835",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0006008",4,8,0.5,TRUE,"neighbor","anchor_01"
"HOG:0006009",7,8,0.875,TRUE,"neighbor","anchor_01"
"HOG:0006052",6,8,0.75,TRUE,"neighbor","anchor_01"
"HOG:0006123",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0006139",5,8,0.625,TRUE,"neighbor","anchor_01"
"HOG:0006205",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0006210",5,8,0.625,TRUE,"neighbor","anchor_01"
"HOG:0006263",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0006264",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0006292",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0006346",7,8,0.875,TRUE,"neighbor","anchor_01"
"HOG:0006377",5,8,0.625,TRUE,"neighbor","anchor_01"
"HOG:0006427",1,8,0.125,FALSE,"neighbor","anchor_01"
"HOG:0006505",8,8,1,TRUE,"neighbor","anchor_01"
"HOG:0007636",7,8,0.875,TRUE,"neighbor","anchor_01"
"HOG:0007637",8,8,1,TRUE,"neighbor","anchor_01"
