"anchor_id","anchor_hog","species","anchor_gene","module_hog","status","n_reduced_genes","n_anchor_neighbor_copies","selected_gene","anchor_edge_strength"
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0000178","anchor_neighbor",1,1,"Bradi1g78710.v3.2",1618.96911644416
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0000191","anchor_neighbor",1,1,"Bradi3g52400.v3.2",1644.48715410003
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0000226","anchor_neighbor",1,1,"Bradi3g39750.v3.2",1614.4937286964
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0000322","anchor_neighbor",1,1,"Bradi2g36890.v3.2",1579.87341265052
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0000465","anchor_neighbor",1,1,"Bradi1g54030.v3.2",1655.49992449411
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0000537","anchor_neighbor",1,1,"Bradi2g46690.v3.2",1584.73467810861
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0003782","anchor_neighbor",1,1,"Bradi2g54127.v3.2",1596.30824091088
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0004085","anchor_neighbor",1,1,"Bradi2g34580.v3.2",1626.96281457199
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0004192","anchor_neighbor",1,1,"Bradi2g15307.v3.2",1608.28169174433
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0004305","anchor_neighbor",1,1,"Bradi3g46247.v3.2",1572.11545377558
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0005589","anchor_neighbor",1,1,"Bradi1g09300.v3.2",1624.46606612758
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0005788","anchor_neighbor",1,1,"Bradi3g20520.v3.2",1646.9951426765
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0006008","present_not_neighbor",1,0,,
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0006009","present_not_neighbor",1,0,,
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0006052","present_not_neighbor",2,0,,
"anchor_01","HOG:0020610","BDIS","Bradi4g08030.v3.2","HOG:0006123","anchor_neighbor",2,1,"Bradi1g36260.v3.2",1634.49625267236
