"anchor_id","hog","n_species","max_q","mean_effect_size","n_multicopy_species","max_reduced_copies","selection_stratum","anchor_hog","recurrence_cutoff","n_candidate_neighbor_hogs","n_recurrent_hogs","median_species_support","has_pairwise_edge_correlation","recurrent_coverage","internal_edge_density","largest_component_fraction"
"anchor_01","HOG:0020610",8,5.03364743147197e-71,6.71831291159206,1,3,"multi-copy-resolved","HOG:0020610",4,276,157,7,TRUE,0.843949044585987,0.748335973132073,1
"anchor_02","HOG:0020076",8,1.04173111492236e-68,6.92250819297025,0,1,"strongest-remainder","HOG:0020076",4,267,147,7,TRUE,0.862244897959184,0.768718110750402,1
"anchor_03","HOG:0011532",8,1.64510719749651e-66,7.32806503205192,0,1,"strongest-remainder","HOG:0011532",4,259,147,7,TRUE,0.827380952380952,0.775129049772919,1
"anchor_04","HOG:0019394",8,9.56552674627906e-66,6.91238523421927,0,1,"strongest-remainder","HOG:0019394",4,268,156,7,TRUE,0.837339743589744,0.756658873926853,1
"anchor_05","HOG:0006205",8,7.45638203113323e-63,6.93245346169242,0,1,"strongest-remainder","HOG:0006205",4,273,144,7,TRUE,0.841145833333333,0.771041056103602,1
"anchor_06","HOG:0028766",8,1.62936540611907e-62,6.97905465024423,0,1,"strongest-remainder","HOG:0028766",4,264,149,7,TRUE,0.845637583892617,0.767280976677535,1
"anchor_07","HOG:0011862",8,4.04718371238708e-59,6.87120272418345,0,1,"strongest-remainder","HOG:0011862",4,269,151,7,TRUE,0.829470198675497,0.771250109148832,1
"anchor_08","HOG:0006123",8,4.10312364825522e-59,7.02425184624033,8,5,"multi-copy-resolved","HOG:0006123",4,260,149,7,TRUE,0.843959731543624,0.775466121206127,1
"anchor_09","HOG:0029484",8,4.57882929696581e-59,6.86765131672621,8,3,"multi-copy-resolved","HOG:0029484",4,275,140,7,TRUE,0.838392857142857,0.773194402203987,1
"anchor_10","HOG:0023085",8,1.21164073022183e-58,7.14476050733552,8,4,"multi-copy-resolved","HOG:0023085",4,268,142,7,TRUE,0.847711267605634,0.802218787624239,1
"anchor_11","HOG:0026770",8,2.2229249351776e-58,6.96554902029837,8,5,"multi-copy-resolved","HOG:0026770",4,271,142,7,TRUE,0.846830985915493,0.799421551191339,1
"anchor_12","HOG:0012056",8,3.09799170364138e-57,7.16214708610451,8,3,"multi-copy-resolved","HOG:0012056",4,264,142,7,TRUE,0.824823943661972,0.810908000946193,1
