"anchor_id","anchor_hog","tissue","feature","interpretation","median_annual_minus_perennial","n_annual_higher","n_perennial_higher","n_equal","majority_direction","n_agreeing_with_majority","pair_consistency","absolute_median_contrast","discovery_rank"
"anchor_334","HOG:0023048","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.764213818553897,0,4,0,"perennial_higher",4,1,0.764213818553897,1
"anchor_192","HOG:0010481","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.606706203061679,0,4,0,"perennial_higher",4,1,0.606706203061679,2
"anchor_285","HOG:0025342","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.538753131219643,0,4,0,"perennial_higher",4,1,0.538753131219643,3
"anchor_161","HOG:0025959","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.499379616994062,0,4,0,"perennial_higher",4,1,0.499379616994062,4
"anchor_122","HOG:0012297","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.472404381772426,0,4,0,"perennial_higher",4,1,0.472404381772426,5
"anchor_309","HOG:0011540","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.455810225768168,0,4,0,"perennial_higher",4,1,0.455810225768168,6
"anchor_231","HOG:0023138","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.445457427074771,0,4,0,"perennial_higher",4,1,0.445457427074771,7
"anchor_259","HOG:0026742","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.444603330809359,0,4,0,"perennial_higher",4,1,0.444603330809359,8
"anchor_207","HOG:0032903","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.44413652507755,0,4,0,"perennial_higher",4,1,0.44413652507755,9
"anchor_202","HOG:0010482","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.435624159794068,0,4,0,"perennial_higher",4,1,0.435624159794068,10
"anchor_226","HOG:0025149","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.433690623878699,0,4,0,"perennial_higher",4,1,0.433690623878699,11
"anchor_336","HOG:0032436","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.433285872298873,0,4,0,"perennial_higher",4,1,0.433285872298873,12
"anchor_225","HOG:0032904","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.420487035989,0,4,0,"perennial_higher",4,1,0.420487035989,13
"anchor_221","HOG:0028333","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.417406018145294,0,4,0,"perennial_higher",4,1,0.417406018145294,14
"anchor_178","HOG:0010551","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.383963811419959,0,4,0,"perennial_higher",4,1,0.383963811419959,15
"anchor_162","HOG:0005857","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.380558430697544,0,4,0,"perennial_higher",4,1,0.380558430697544,16
"anchor_297","HOG:0028197","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.371085197453518,0,4,0,"perennial_higher",4,1,0.371085197453518,17
"anchor_256","HOG:0006332","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.366648706602489,0,4,0,"perennial_higher",4,1,0.366648706602489,18
"anchor_225","HOG:0032904","root","mean_activity","equal-time-point mean module activity within tissue",0.331258911161686,4,0,0,"annual_higher",4,1,0.331258911161686,19
"anchor_103","HOG:0011510","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.327256323363086,0,4,0,"perennial_higher",4,1,0.327256323363086,20
"anchor_184","HOG:0026019","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.320090701744963,0,4,0,"perennial_higher",4,1,0.320090701744963,21
"anchor_193","HOG:0027905","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.308961138426196,0,4,0,"perennial_higher",4,1,0.308961138426196,22
"anchor_189","HOG:0027641","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.301922836123722,0,4,0,"perennial_higher",4,1,0.301922836123722,23
"anchor_104","HOG:0021825","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.288069519211665,0,4,0,"perennial_higher",4,1,0.288069519211665,24
"anchor_301","HOG:0018459","leaf","mean_activity","equal-time-point mean module activity within tissue",0.271314670763613,4,0,0,"annual_higher",4,1,0.271314670763613,25
