"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0003677",0.000110751853109413,0.00323514598498051,0.538434096309916,0.860245176510823,1.8332313047229,13,"HOG:0010481;HOG:0032903;HOG:0010482;HOG:0032904;HOG:0026742;HOG:0025149;HOG:0025848;HOG:0027918;HOG:0011541",TRUE,"DNA binding","MF","root_mean_activity","annual",3,0.75,"Brachypodium=0.7704;Hordeum=0.1262;Briza=0.1182;Festuca/Vulpia=-0.06787",0.0100648986199394
"GO:0016491",0.000149372609208645,0.00487950523414907,0.518848077743792,0.562968559684604,2.22047590562232,29,"HOG:0028720;HOG:0025231;HOG:0027495;HOG:0031530;HOG:0026234;HOG:0032320;HOG:0020408;HOG:0007713;HOG:0031129;HOG:0027098;HOG:0011862;HOG:0025863;HOG:0011023;HOG:0026770;HOG:0000322;HOG:0028012",TRUE,"oxidoreductase activity","MF","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.02437;Hordeum=0.1267;Briza=0.02854;Festuca/Vulpia=0.0321",0.010246960991713
"GO:0003677",0.000185363263846869,0.00605519995233106,0.518848077743792,0.830313129529297,1.97184917493765,13,"HOG:0032904;HOG:0025149;HOG:0032903;HOG:0010481;HOG:0026742;HOG:0025848;HOG:0010482;HOG:0027918",TRUE,"DNA binding","MF","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.2719;Hordeum=0.4334;Briza=0.4556;Festuca/Vulpia=-0.5909",0.0115599271817229
"GO:0003676",6.2135462121099e-05,0.0060892752878677,0.538434096309916,0.838213685296055,1.65718393003492,20,"HOG:0010481;HOG:0032904;HOG:0010482;HOG:0027918;HOG:0025149;HOG:0032849;HOG:0011541;HOG:0025848;HOG:0025923;HOG:0026742;HOG:0032903",TRUE,"nucleic acid binding","MF","root_early_to_late","annual",3,0.75,"Brachypodium=1.452;Hordeum=0.04067;Briza=-0.7597;Festuca/Vulpia=0.7271",0.00852498540301479
"GO:0032774",0.000416470239351178,0.00816281669128308,0.49849310876659,0.841355928324105,1.9107841569384,11,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0027918;HOG:0024562;HOG:0011541",TRUE,"RNA biosynthetic process","BP","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.1999;Hordeum=0.4828;Briza=0.3903;Festuca/Vulpia=-0.5909",0.0178561615121817
"GO:0044281",0.00271208213446398,0.024162186288861,0.431707695803346,0.521836062400558,1.86862395984931,22,"HOG:0011497;HOG:0017319;HOG:0030062;HOG:0006505;HOG:0007713;HOG:0028766;HOG:0004085;HOG:0011862;HOG:0025863;HOG:0026770",TRUE,"small molecule metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.05441;Hordeum=0.1274;Briza=0.03218;Festuca/Vulpia=0.04508",0.0465122086060573
"GO:0006793",0.00394275042172559,0.0297222724099314,0.407017918923954,0.50745499506977,1.81712731383582,22,"HOG:0018459;HOG:0030062;HOG:0006505;HOG:0027147;HOG:0008733",TRUE,"phosphorus metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.04932;Hordeum=0.1278;Briza=0.03394;Festuca/Vulpia=0.01707",0.0558451970718617
"GO:0005515",0.00111093391543348,0.0336085263847882,0.45505986738723,0.687951376886515,1.45099578351715,69,"HOG:0023138;HOG:0028145;HOG:0005857;HOG:0027918;HOG:0025149;HOG:0023048;HOG:0011775;HOG:0010551;HOG:0027421;HOG:0032849;HOG:0011541;HOG:0010549;HOG:0006131;HOG:0025923;HOG:0026838;HOG:0006332;HOG:0026019;HOG:0027351;HOG:0003621;HOG:0017160;HOG:0005877;HOG:0026902",TRUE,"protein binding","MF","root_early_to_late","annual",3,0.75,"Brachypodium= 1.46;Hordeum=0.02523;Briza=-0.2715;Festuca/Vulpia=0.02274",0.0317541944161404
"GO:0090304",0.001405473339624,0.0336085263847882,0.45505986738723,0.819647978269274,1.58865697372263,17,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0003561;HOG:0032903;HOG:0006008",TRUE,"nucleic acid metabolic process","BP","root_early_to_late","annual",3,0.75,"Brachypodium=0.9713;Hordeum=0.02041;Briza=-0.6147;Festuca/Vulpia=0.6478",0.0385661884392826
"GO:0008270",0.00841717654086048,0.034370137541847,0.380730400722792,0.728192027435759,1.72932933062178,13,"HOG:0025149;HOG:0028145;HOG:0025959;HOG:0028333;HOG:0021825;HOG:0027918;HOG:0032765",TRUE,"zinc ion binding","MF","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.2008;Hordeum=0.1576;Briza=0.3634;Festuca/Vulpia=-0.5646",0.0874876228337923
"GO:0008270",0.00607274433516492,0.0425092103461544,0.407017918923954,0.774578682390282,1.65067114271814,13,"HOG:0028333;HOG:0025959;HOG:0025149;HOG:0032765;HOG:0006332;HOG:0027918;HOG:0024976",TRUE,"zinc ion binding","MF","root_mean_activity","annual",3,0.75,"Brachypodium=0.7265;Hordeum=0.1073;Briza=0.03417;Festuca/Vulpia=-0.05504",0.0777954147969307
