"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0003677",0.000110751853109413,0.00323514598498051,0.538434096309916,0.860245176510823,1.8332313047229,13,"HOG:0010481;HOG:0032903;HOG:0010482;HOG:0032904;HOG:0026742;HOG:0025149;HOG:0025848;HOG:0027918;HOG:0011541",TRUE,"DNA binding","MF","root_mean_activity","annual",3,0.75,"Brachypodium=0.7704;Hordeum=0.1262;Briza=0.1182;Festuca/Vulpia=-0.06787",0.0100648986199394
"GO:0003676",8.4042013831365e-05,0.00411805867773688,0.538434096309916,0.765717485161756,2.03690989167416,20,"HOG:0032904;HOG:0025149;HOG:0032903;HOG:0010481;HOG:0026742;HOG:0025848;HOG:0010482;HOG:0024277;HOG:0027918;HOG:0017189;HOG:0011541",FALSE,"nucleic acid binding","MF","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.1982;Hordeum=0.4981;Briza=0.235;Festuca/Vulpia=-0.3853",0.00960880358138606
"GO:0016491",0.000149372609208645,0.00487950523414907,0.518848077743792,0.562968559684604,2.22047590562232,29,"HOG:0028720;HOG:0025231;HOG:0027495;HOG:0031530;HOG:0026234;HOG:0032320;HOG:0020408;HOG:0007713;HOG:0031129;HOG:0027098;HOG:0011862;HOG:0025863;HOG:0011023;HOG:0026770;HOG:0000322;HOG:0028012",TRUE,"oxidoreductase activity","MF","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.02437;Hordeum=0.1267;Briza=0.02854;Festuca/Vulpia=0.0321",0.010246960991713
"GO:0003677",0.000185363263846869,0.00605519995233106,0.518848077743792,0.830313129529297,1.97184917493765,13,"HOG:0032904;HOG:0025149;HOG:0032903;HOG:0010481;HOG:0026742;HOG:0025848;HOG:0010482;HOG:0027918",TRUE,"DNA binding","MF","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.2719;Hordeum=0.4334;Briza=0.4556;Festuca/Vulpia=-0.5909",0.0115599271817229
"GO:0003676",6.2135462121099e-05,0.0060892752878677,0.538434096309916,0.838213685296055,1.65718393003492,20,"HOG:0010481;HOG:0032904;HOG:0010482;HOG:0027918;HOG:0025149;HOG:0032849;HOG:0011541;HOG:0025848;HOG:0025923;HOG:0026742;HOG:0032903",TRUE,"nucleic acid binding","MF","root_early_to_late","annual",3,0.75,"Brachypodium=1.452;Hordeum=0.04067;Briza=-0.7597;Festuca/Vulpia=0.7271",0.00852498540301479
"GO:0032774",0.000416470239351178,0.00816281669128308,0.49849310876659,0.841355928324105,1.9107841569384,11,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0027918;HOG:0024562;HOG:0011541",TRUE,"RNA biosynthetic process","BP","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.1999;Hordeum=0.4828;Briza=0.3903;Festuca/Vulpia=-0.5909",0.0178561615121817
"GO:0141187",0.000416470239351178,0.00816281669128308,0.49849310876659,0.841355928324105,1.9107841569384,11,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0027918;HOG:0024562;HOG:0011541",FALSE,"nucleic acid biosynthetic process","BP","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.1999;Hordeum=0.4828;Briza=0.3903;Festuca/Vulpia=-0.5909",0.0178561615121817
"GO:0003676",0.000931876286027841,0.0130462680043898,0.477270815362862,0.75709133953543,1.7514246373745,20,"HOG:0010481;HOG:0032903;HOG:0010482;HOG:0032904;HOG:0026742;HOG:0025149;HOG:0025848;HOG:0027918;HOG:0011541;HOG:0032849",FALSE,"nucleic acid binding","MF","root_mean_activity","annual",3,0.75,"Brachypodium=0.3639;Hordeum=0.1131;Briza=0.008591;Festuca/Vulpia=-0.05259",0.0290575969188681
"GO:0090304",0.0017023461823206,0.0220441952722379,0.45505986738723,0.732258301516942,1.87550792361905,17,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0027918;HOG:0024562;HOG:0011541;HOG:0003561",FALSE,"nucleic acid metabolic process","BP","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.1964;Hordeum=0.4786;Briza=0.1896;Festuca/Vulpia=-0.2915",0.0435487247828702
"GO:0016070",0.00232185687423723,0.0220441952722379,0.431707695803346,0.760604218581651,1.85532037144803,14,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0027918;HOG:0024562;HOG:0011541",FALSE,"RNA metabolic process","BP","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.1982;Hordeum=0.4807;Briza=0.2141;Festuca/Vulpia=-0.4405",0.0465122086060573
