"ranking","tissue","feature","anchor_hog","score","n_annual_higher","n_perennial_higher","direction","rank_within_profile"
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000079",-0.0855436530830313,1,3,"perennial",253
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000096",-0.0108427344343657,1,3,"perennial",160
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000122",0.0291063673216405,2,2,"annual",118
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000178",-0.0537431955239578,1,3,"perennial",204
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000191",-0.0460864870866527,2,2,"perennial",193
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000226",-0.152083116277132,1,3,"perennial",305
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000322",0.0839880193051789,2,2,"annual",71
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000465",-0.051754574149408,2,2,"perennial",200
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000535",-0.0187503239293611,2,2,"perennial",167
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0000537",-0.0015508750611815,2,2,"perennial",149
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0003541",0.0374452830829375,3,1,"annual",106
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0003561",0.129724573927106,3,1,"annual",47
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0003621",0.198564984573606,4,0,"annual",21
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0003782",0.225916325566242,3,1,"annual",10
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0003795",0.162486480710432,4,0,"annual",33
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0004085",-0.068463141547895,1,3,"perennial",228
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0004114",-0.0016300600535798,2,2,"perennial",150
"anchor_module_mean_strength_ratio",,"anchor_module_mean_strength_ratio","HOG:0004116",0.178547524275188,3,1,"annual",26
