"direction","regulator_class","class_hogs","n_candidate_anchors","observed_target_fraction","observed_other_fraction","observed_target_minus_other","n_pairs_target_higher","null_target_mean","target_fold_over_null","p_edge_swap_target","null_contrast_mean","p_edge_swap_contrast","q_edge_swap_target","q_edge_swap_contrast"
"annual","chromatin_regulator",21,15,0.0858789514655447,0.0714241994517955,0.0144547520137491,2,0.0162249005746923,5.29303406638432,0.002,0.00157150657745866,0.002,0.0064,0.016
"annual","gene_expression_regulator",62,15,0.140344023302261,0.121206162961574,0.0191378603406874,3,0.0378720475493625,3.70574163225098,0.002,0.00186767933016871,0.002,0.0064,0.016
"annual","any_regulator",119,15,0.170383266652108,0.155289938298252,0.0150933283538555,4,0.0722462319146997,2.35836890224638,0.002,0.000852397253809538,0.006,0.0064,0.032
"annual","transcription_regulator",43,15,0.0704011120025486,0.0625180399067171,0.0078830720958315,2,0.0233176068261617,3.01922545171148,0.002,0.000444665819682005,0.018,0.0064,0.072
"annual","ubiquitin_transferase",5,15,0.0017596816604782,0.00130941255732076,0.000450269103157444,3,0.00158284039894587,1.11172400050574,0.374,-0.000712779830205518,0.132,0.854857142857143,0.352
"annual","dna_binding_tf",14,15,0.00397298722442641,0.00224655855406752,0.00172642867035889,2,0.00609789301568015,0.651534425777929,0.986,0.000292477399289022,0.198,1,0.452571428571429
"annual","protein_kinase",52,15,0.0282795616893686,0.0327743627793579,-0.00449480108998935,1,0.0327913439663914,0.862409351637217,0.95,-0.000302502246153654,0.856,1,1
"annual","rna_processing_factor",8,15,0.0108705021656938,0.0151147206816832,-0.00424421851598943,1,0.00431163020773047,2.52120465855437,0.002,0.00106844973593659,1,0.0064,1
"perennial","ubiquitin_transferase",5,8,0.00278580456708811,0.000848249719677976,0.00193755484741013,2,0.00228670228558876,1.21826290402768,0.248,0.000584626606273447,0.1,0.661333333333333,0.32
"perennial","chromatin_regulator",21,8,0.0138327892630506,0.0151446132038604,-0.00131182394080981,1,0.0151108591410396,0.915420435988454,0.768,-0.00151649149844122,0.48,1,0.96
"perennial","rna_processing_factor",8,8,0.00198383279143394,0.00374537496853564,-0.00176154217710171,2,0.00347365666620525,0.571107907909951,0.96,-0.000996894857207464,0.718,1,1
"perennial","gene_expression_regulator",62,8,0.0245461265814662,0.0303937539993534,-0.00584762741788723,1,0.0368175630544112,0.666696123944719,1,-0.00144573345144779,0.86,1,1
"perennial","transcription_regulator",43,8,0.0107133373184157,0.0152491407954931,-0.00453580347707741,1,0.023453497648734,0.456790602360068,1,7.41637189475441e-06,0.916,1,1
"perennial","protein_kinase",52,8,0.0149835782370985,0.0203281190730012,-0.00534454083590278,0,0.0331539252682849,0.451939796444911,1,0.000154724602038161,0.926,1,1
"perennial","any_regulator",119,8,0.0423155093856528,0.0515701227920327,-0.00925461340637989,0,0.0722581906082848,0.585615402619853,1,-0.000706382243136176,0.94,1,1
"perennial","dna_binding_tf",14,8,0.00317049458949641,0.00677876377639441,-0.003608269186898,1,0.00594911101198273,0.532935859342747,0.996,-0.000193069251964731,0.984,1,1
