"anchor_id","anchor_hog","species1","species2","neighborhood_jaccard","n_matched_module_edges","n_informative_module_edges","n_shared_present_edges","module_edge_jaccard","matched_edge_correlation","matched_edge_mean_abs_log_threshold_distance","enough_edges_for_correlation"
"anchor_01","HOG:0020610","BDIS","BSYL",0.564245810055866,4950,4596,3030,0.659268929503916,0.23241889434507,0.0159286026761534,TRUE
"anchor_01","HOG:0020610","BDIS","HVUL",0.646739130434783,6786,6190,4323,0.698384491114701,0.258923067745926,0.0153920128485092,TRUE
"anchor_01","HOG:0020610","BDIS","HJUB",0.616504854368932,7381,6972,5412,0.776247848537005,0.366566387054652,0.0139528353983337,TRUE
"anchor_01","HOG:0020610","BDIS","BMAX",0.66120218579235,7140,6439,4614,0.716570896101879,0.361224901787421,0.0139455439510814,TRUE
"anchor_01","HOG:0020610","BDIS","BMED",0.603174603174603,6441,6073,4646,0.765025522805862,0.366285491530266,0.0145340921250463,TRUE
"anchor_01","HOG:0020610","BDIS","VBRO",0.655172413793103,6328,5870,4256,0.725042589437819,0.278375788123296,0.0152455131383647,TRUE
"anchor_01","HOG:0020610","BDIS","FPRA",0.635922330097087,7750,7291,5528,0.758195034974626,0.347362294138754,0.0150240158262929,TRUE
"anchor_01","HOG:0020610","BSYL","HVUL",0.558659217877095,4950,4425,2711,0.612655367231638,0.22043338158085,0.0147023384069947,TRUE
"anchor_01","HOG:0020610","BSYL","HJUB",0.537313432835821,5253,4988,3324,0.666399358460305,0.192905775729941,0.0155038547380295,TRUE
"anchor_01","HOG:0020610","BSYL","BMAX",0.521739130434783,4465,4056,2578,0.63560157790927,0.167857986004321,0.0153033024203981,TRUE
"anchor_01","HOG:0020610","BSYL","BMED",0.541436464088398,4656,4388,2900,0.660893345487694,0.237618791149114,0.0163606352450109,TRUE
"anchor_01","HOG:0020610","BSYL","VBRO",0.590361445783133,4656,4242,2710,0.638849599245639,0.235887717896477,0.0137779862812988,TRUE
"anchor_01","HOG:0020610","BSYL","FPRA",0.504807692307692,5253,4951,3171,0.640476671379519,0.196178256047928,0.017883336040563,TRUE
"anchor_01","HOG:0020610","HVUL","HJUB",0.619512195121951,7503,6989,4902,0.701387895263986,0.250736086590301,0.0151339012616699,TRUE
"anchor_01","HOG:0020610","HVUL","BMAX",0.692737430167598,7260,6403,4272,0.667187255973762,0.27646420887209,0.0145210116746128,TRUE
"anchor_01","HOG:0020610","HVUL","BMED",0.623655913978495,6328,5874,4052,0.689819543752128,0.314117085997267,0.014987024978615,TRUE
"anchor_01","HOG:0020610","HVUL","VBRO",0.64,6216,5549,3815,0.687511263290683,0.288488085443095,0.0139578393367528,TRUE
"anchor_01","HOG:0020610","HVUL","FPRA",0.631067961165049,7875,7268,4900,0.674188222344524,0.300111614096615,0.015662540434875,TRUE
"anchor_01","HOG:0020610","HJUB","BMAX",0.616504854368932,7875,7304,5227,0.715635268346112,0.306252571350566,0.0143139628572892,TRUE
"anchor_01","HOG:0020610","HJUB","BMED",0.588516746411483,7140,6725,5302,0.788401486988848,0.333976699676098,0.0140113012738444,TRUE
"anchor_01","HOG:0020610","HJUB","VBRO",0.61734693877551,7140,6659,4991,0.749511938729539,0.29455728417574,0.0144567183982184,TRUE
"anchor_01","HOG:0020610","HJUB","FPRA",0.612334801762115,8911,8330,6356,0.763025210084034,0.334956979038775,0.0144280822957367,TRUE
