"locus","anchor_hog","direction","n_main_pathways","n_deployment_rankings","best_pathway_fdr","max_deployment_pair_agreement","pathway_terms","topology_metric","topology_group_separation","topology_exact_p","topology_feature","topology_median","topology_pair_agreement","topology_direction","topology_supported","BDIS","BSYL","HVUL","HJUB","BMAX","BMED","VBRO","FPRA","mean_effect_size","max_q","n_multicopy_species","best_arabi_gene","best_arabi_defline","best_rice_gene","best_rice_defline","hotspot_rank_within_direction"
"Bradi4g35977","HOG:0027918","annual",8,3,0.00323514598498051,3,"DNA binding;nucleic acid binding;nucleic acid metabolic process;protein binding;RNA biosynthetic process;zinc ion binding","matched_edge_correlation",0.0695647545338484,0.0857142857142857,"internal_edge_density",0.0869312483882445,3,"annual",TRUE,"Bradi4g35977.v3.2","Brasyl.5G407700.v2.1","HORVU.MOREX.r3.5HG0498460.V3","HJUBATUM.BCC2055.r1.5H_1G00545700","gene-Bmax_egapxtmp_034439","BMED2_gene-Bmax_egapxtmp_034439","VULPIA.BROMOIDES.r1.ctg15G00124410","gene-Fpra_egapxtmp_015136",11.0118149301397,8.62751533037932e-06,0,"AT2G16485","nucleic acid binding;zinc ion binding;DNA binding","LOC_Os09g36090","plus-3 domain containing protein, expressed",1
"Bradi1g26940","HOG:0025149","annual",6,3,0.00323514598498051,3,"DNA binding;nucleic acid binding;protein binding;zinc ion binding","neighborhood_jaccard",0.0214708112741365,0.0857142857142857,"internal_edge_density",0.0061494301698478,3,"annual",TRUE,"Bradi1g26940.v3.2","Brasyl.6G120700.v2.1","HORVU.MOREX.r3.2HG0143700.V3","HJUBATUM.BCC2055.r1.2H_1G00149780","gene-Bmax_egapxtmp_006146","BMED2_gene-Bmax_egapxtmp_006146","VULPIA.BROMOIDES.r1.ctg105G00020640","gene-Fpra_egapxtmp_027010",10.0485342179549,0.000266732103742468,0,"AT5G44800","chromatin remodeling 4","LOC_Os07g31450","CHR4/MI-2-LIKE, putative, expressed",2
"Bradi3g01297","HOG:0011541","annual",5,3,0.00323514598498051,3,"DNA binding;nucleic acid binding;nucleic acid metabolic process;protein binding;RNA biosynthetic process","matched_edge_correlation",0.0712464286192959,0.0571428571428571,"recurrent_coverage",0.0833333333333333,4,"annual",TRUE,"Bradi3g01297.v3.2","Brasyl.4G343700.v2.1","HORVU.MOREX.r3.6HG0543700.V3","HJUBATUM.BCC2055.r1.6H_1G00610160","gene-Bmax_egapxtmp_027989","BMED2_gene-Bmax_egapxtmp_027989","VULPIA.BROMOIDES.r1.ctg26G00322740","gene-Fpra_egapxtmp_010409",9.67642081463613,6.91915003998039e-13,0,"AT2G46020","transcription regulatory protein SNF2, putative","LOC_Os02g02290","SNF2 family N-terminal domain containing protein, expressed",3
"Bradi3g03330","HOG:0025959","annual",4,3,0.00816281669128308,3,"nucleic acid metabolic process;RNA biosynthetic process;zinc ion binding","matched_edge_correlation",0.0568834065762545,0.0857142857142857,"recurrent_coverage",0.0446428571428572,3,"annual",TRUE,"Bradi3g03330.v3.2","Brasyl.4G317700.v2.1","HORVU.MOREX.r3.6HG0556530.V3","HJUBATUM.BCC2055.r1.6H_1G00626110","gene-Bmax_egapxtmp_025764","BMED2_gene-Bmax_egapxtmp_025764","VULPIA.BROMOIDES.r1.ctg26G00331560","gene-Fpra_egapxtmp_007903",9.29748537630475,6.62049304338251e-07,4,"AT1G16710","histone acetyltransferase of the CBP family 12","LOC_Os02g04490","histone acetyltransferase HAC1, putative, expressed",4
"Bradi2g41720","HOG:0010481","annual",3,3,0.00323514598498051,3,"DNA binding;nucleic acid binding","matched_edge_correlation",0.053095470741484,0.0857142857142857,"recurrent_coverage",0.0462962962962963,3,"annual",TRUE,"Bradi2g41720.v3.2","Brasyl.1G251100.v2.1","HORVU.MOREX.r3.3HG0267440.V3","HJUBATUM.BCC2055.r1.3H_1G00288290","gene-Bmax_egapxtmp_054789","BMED2_gene-Bmax_egapxtmp_054789","VULPIA.BROMOIDES.r1.ctg8G00540780","gene-Fpra_egapxtmp_018479",10.2758009136757,1.43400663249576e-05,0,"AT3G24880","Helicase/SANT-associated, DNA binding protein","","",5
"Bradi5g26017","HOG:0032765","annual",2,2,0.034370137541847,3,"zinc ion binding","module_edge_jaccard",0.0231525607633231,0.114285714285714,"recurrent_coverage",0.12962962962963,3,"annual",TRUE,"Bradi5g26017.v3.2","Brasyl.9G286500.v2.1","HORVU.MOREX.r3.2HG0210490.V3","HJUBATUM.BCC2055.r1.2H_1G00223980","gene-Bmax_egapxtmp_004088","BMED2_gene-Bmax_egapxtmp_004088","VULPIA.BROMOIDES.r1.ctg89G00544010","gene-Fpra_egapxtmp_045005",10.035926110526,4.27151707905055e-08,1,"AT5G23110","Zinc finger, C3HC4 type (RING finger) family protein","","",6
"Bradi1g48264","HOG:0025923","annual",3,1,0.0060892752878677,3,"nucleic acid binding;nucleic acid metabolic process;protein binding","module_edge_jaccard",0.0413926658829897,0.0285714285714286,"internal_edge_density",0.00214144445202211,3,"annual",TRUE,"Bradi1g48264.v3.2","Brasyl.7G055400.v2.1","HORVU.MOREX.r3.5HG0476410.V3","HJUBATUM.BCC2055.r1.5H_1G00521510","gene-Bmax_egapxtmp_033792","BMED2_gene-Bmax_egapxtmp_033792","VULPIA.BROMOIDES.r1.ctg16G00151240","gene-Fpra_egapxtmp_010799",8.64316197155058,1.7831871593457e-06,0,"AT1G80070","Pre-mRNA-processing-splicing factor","LOC_Os05g07050","pre-mRNA-processing-splicing factor 8, putative, expressed",7
"Bradi3g42820","HOG:0031129","annual",1,1,0.00487950523414907,4,"oxidoreductase activity","neighborhood_jaccard",0.0291432596561185,0.114285714285714,"anchor_module_mean_strength_ratio",0.252369959671133,3,"annual",TRUE,"Bradi3g42820.v3.2","Brasyl.3G307100.v2.1","HORVU.MOREX.r3.7HG0642580.V3","HJUBATUM.BCC2055.r1.7H_1G00715130","gene-Bmax_egapxtmp_059011","BMED2_gene-Bmax_egapxtmp_059011","VULPIA.BROMOIDES.r1.ctg29G00361570","gene-Fpra_egapxtmp_007412",7.00040852814601,4.14763007891446e-24,1,"AT5G03880","Thioredoxin family protein","LOC_Os08g44400","glutathione S-transferase, N-terminal domain containing protein, expressed",8
"Bradi1g54390","HOG:0026234","annual",1,1,0.00487950523414907,3,"oxidoreductase activity","matched_edge_mean_abs_log_threshold_distance",0.000574456387752102,0.0571428571428571,"anchor_module_mean_strength_ratio",0.0569931363324374,3,"annual",TRUE,"Bradi1g54390.v3.2","Brasyl.6G166900.v2.1","HORVU.MOREX.r3.2HG0144000.V3","HJUBATUM.BCC2055.r1.2H_1G00157470","gene-Bmax_egapxtmp_008212","BMED2_gene-Bmax_egapxtmp_008212","VULPIA.BROMOIDES.r1.ctg123G00048360","gene-Fpra_egapxtmp_004624",6.29050975636702,4.34038586680089e-08,0,"AT3G04870","zeta-carotene desaturase","LOC_Os07g10490","zeta-carotene desaturase, chloroplast/chromoplast precursor, putative, expressed",9
"Bradi4g33310","HOG:0026838","annual",1,1,0.0336085263847882,3,"protein binding","matched_edge_correlation",0.0884747733561225,0.0285714285714286,"anchor_module_mean_strength_ratio",0.236155553226825,3,"annual",TRUE,"Bradi4g33310.v3.2","Brasyl.5G374200.v2.1","HORVU.MOREX.r3.6HG0619580.V3","HJUBATUM.BCC2055.r1.6H_1G00682650","gene-Bmax_egapxtmp_026957","BMED2_gene-Bmax_egapxtmp_026957","VULPIA.BROMOIDES.r1.ctg30G00387250","gene-Fpra_egapxtmp_047351",8.16800318945198,0.000607634894207157,0,"AT5G24350","(1 of 1) PTHR15922:SF2 - NEUROBLASTOMA-AMPLIFIED SEQUENCE","LOC_Os12g13150","expressed protein",10
