"anchor_hog","species","selected_gene","selection_count","mean_anchor_edge_strength","selected"
"HOG:0004224","BDIS","Bradi2g38160.v3.2",9,1624.88880140863,TRUE
"HOG:0004224","BMAX","gene-Bmax_egapxtmp_021877",13,1646.02578991257,TRUE
"HOG:0004224","BMED","BMED2_gene-Bmax_egapxtmp_021877",9,1641.97536296771,TRUE
"HOG:0004224","BSYL","Brasyl.8G238900.v2.1",3,1784.99915635486,TRUE
"HOG:0004224","FPRA","gene-Fpra_egapxtmp_023426",11,1777.98056763347,TRUE
"HOG:0004224","HJUB","HJUBATUM.BCC2055.r1.1H_1G00016760",11,2073.04566873777,TRUE
"HOG:0004224","HVUL","HORVU.MOREX.r3.1HG0014740.V3",12,1672.17694051817,TRUE
"HOG:0004224","VBRO","VULPIA.BROMOIDES.r1.ctg287G00342520",10,1726.39799618913,TRUE
"HOG:0012239","BDIS","Bradi3g07877.v3.2",13,1615.53992123312,TRUE
"HOG:0012239","BMAX","gene-Bmax_egapxtmp_027568",10,1616.85131070667,TRUE
"HOG:0012239","BMED","BMED2_gene-Bmax_egapxtmp_027568",7,1613.14219225179,TRUE
"HOG:0012239","BSYL","Brasyl.4G259000.v2.1",7,1760.21172640341,TRUE
"HOG:0012239","FPRA","gene-Fpra_egapxtmp_009036",7,1763.55600750248,TRUE
"HOG:0012239","HJUB","HJUBATUM.BCC2055.r1.6H_1G00614120",6,2031.76236603809,TRUE
"HOG:0012239","VBRO","VULPIA.BROMOIDES.r1.ctg26G00325340",13,1715.54303586868,TRUE
"HOG:0016703","BDIS","Bradi1g62320.v3.2",9,1595.48332155212,TRUE
"HOG:0016703","BMAX","gene-Bmax_egapxtmp_041410",15,1638.98296581549,TRUE
"HOG:0016703","BMED","BMED2_gene-Bmax_egapxtmp_041410",13,1622.77780788951,TRUE
"HOG:0016703","BSYL","Brasyl.2G191600.v2.1",8,1768.43743570557,TRUE
"HOG:0016703","FPRA","gene-Fpra_egapxtmp_047249",1,1769.44058956496,TRUE
"HOG:0016703","HJUB","HJUBATUM.BCC2055.r1.4H_1G00406850",11,2072.20948561128,TRUE
"HOG:0016703","HVUL","HORVU.MOREX.r3.4HG0375120.V3",8,1654.82402185939,TRUE
"HOG:0016703","VBRO","VULPIA.BROMOIDES.r1.ctg16G00128860",10,1713.0383118838,TRUE
"HOG:0025960","BDIS","Bradi2g51727.v3.2",11,1615.13902361431,TRUE
"HOG:0025960","BMAX","gene-Bmax_egapxtmp_052717",8,1632.5201244712,TRUE
"HOG:0025960","BMED","BMED2_gene-Bmax_egapxtmp_052717",7,1608.19924039882,TRUE
"HOG:0025960","BSYL","Brasyl.1G138200.v2.1",5,1748.43484545655,TRUE
"HOG:0025960","FPRA","gene-Fpra_egapxtmp_018245",5,1736.2775426409,TRUE
"HOG:0025960","HJUB","HJUBATUM.BCC2055.r1.3H_1G00307820",6,2063.64391941946,TRUE
"HOG:0025960","HVUL","HORVU.MOREX.r3.3HG0293510.V3",2,1661.65802536232,TRUE
"HOG:0025960","VBRO","VULPIA.BROMOIDES.r1.ctg8G00515170",7,1686.60890076289,TRUE
"HOG:0032897","BDIS","Bradi4g22770.v3.2",19,1626.62562810875,TRUE
"HOG:0032897","BDIS","Bradi2g26970.v3.2",2,1577.71790718619,FALSE
"HOG:0032897","BMAX","gene-Bmax_egapxtmp_040100",15,1641.30349362195,TRUE
"HOG:0032897","BMAX","gene-Bmax_egapxtmp_040180",5,1662.37419188371,FALSE
"HOG:0032897","BMED","BMED2_gene-Bmax_egapxtmp_040180",11,1628.67395370674,TRUE
"HOG:0032897","BMED","BMED2_gene-Bmax_egapxtmp_040100",4,1612.27763969581,FALSE
"HOG:0032897","BSYL","Brasyl.8G141000.v2.1",4,1737.9339386115,TRUE
"HOG:0032897","BSYL","Brasyl.5G253000.v2.1",4,1724.20229036111,FALSE
"HOG:0032897","FPRA","gene-Fpra_egapxtmp_026049",2,1725.1078493305,TRUE
"HOG:0032897","HJUB","HJUBATUM.BCC2055.r1.4H_1G00370320",11,2054.68809829551,TRUE
"HOG:0032897","HJUB","HJUBATUM.BCC2055.r1.4H_1G00370820",8,2057.89797249333,FALSE
"HOG:0032897","HVUL","HORVU.MOREX.r3.4HG0346190.V3",13,1663.53581024347,TRUE
"HOG:0032897","VBRO","VULPIA.BROMOIDES.r1.ctg14G00082550",19,1720.19004291666,TRUE
