"hog","direction","regulator_classes","target_occurrences","other_occurrences","target_prevalence","other_prevalence","target_minus_other","n_target_anchors","n_target_anchors_3_of_4","n_pairs_target_higher","null_target_mean","fold_over_edge_swap","p_edge_swap_target","p_edge_swap_contrast","q_edge_swap_target","q_edge_swap_contrast","bdis_gene","best_arabi_gene","best_arabi_defline","best_rice_gene","best_rice_defline"
"HOG:0011541","annual","any_regulator;gene_expression_regulator;transcription_regulator;chromatin_regulator",36,26,0.6,0.433333333333333,0.166666666666667,11,10,4,4.23847695390782,8.4936170212766,0.002,0.002,0.00991666666666667,0.034,"Bradi3g01297.v3.2","AT2G46020","transcription regulatory protein SNF2, putative","LOC_Os02g02290","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0025149","annual","any_regulator;gene_expression_regulator;chromatin_regulator",31,21,0.516666666666667,0.35,0.166666666666667,10,8,3,3.2685370741483,9.48436541998774,0.002,0.002,0.00991666666666667,0.034,"Bradi1g26940.v3.2","AT5G44800","chromatin remodeling 4","LOC_Os07g31450","CHR4/MI-2-LIKE, putative, expressed"
"HOG:0032897","annual","any_regulator;gene_expression_regulator;transcription_regulator",32,15,0.533333333333333,0.25,0.283333333333333,12,6,3,5.1062124248497,6.2668759811617,0.002,0.002,0.00991666666666667,0.034,"Bradi2g26970.v3.2; Bradi4g22770.v3.2","AT1G43850","SEUSS transcriptional co-regulator","LOC_Os11g10060","transcriptional corepressor SEUSS, putative, expressed"
"HOG:0004224","annual","any_regulator;gene_expression_regulator;transcription_regulator",24,12,0.4,0.2,0.2,9,6,4,2.91783567134269,8.22527472527473,0.002,0.002,0.00991666666666667,0.034,"Bradi2g38160.v3.2","AT3G52250","Duplicated homeodomain-like superfamily protein","LOC_Os05g03550","MYB family transcription factor, putative, expressed"
"HOG:0025960","annual","any_regulator;gene_expression_regulator;chromatin_regulator",24,14,0.4,0.233333333333333,0.166666666666667,10,6,3,2.75951903807615,8.69716775599129,0.002,0.002,0.00991666666666667,0.034,"Bradi2g51727.v3.2","AT1G11100","SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related","LOC_Os01g57110","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0012239","annual","any_regulator;gene_expression_regulator;transcription_regulator",20,10,0.333333333333333,0.166666666666667,0.166666666666667,8,5,3,3.17034068136273,6.30847029077117,0.002,0.002,0.00991666666666667,0.034,"Bradi3g07877.v3.2","AT5G25520","SPOC domain / Transcription elongation factor S-II protein","LOC_Os02g11780","transcription factor S-II, central domain containing protein, expressed"
"HOG:0016703","annual","any_regulator;gene_expression_regulator;chromatin_regulator",24,9,0.4,0.15,0.25,11,4,3,2.30260521042084,10.4229765013055,0.002,0.002,0.00991666666666667,0.034,"Bradi1g62320.v3.2","AT3G57300","INO80 ortholog","LOC_Os03g22900","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0011775","annual","any_regulator;protein_kinase",19,10,0.316666666666667,0.166666666666667,0.15,10,3,2,3.72545090180361,5.10005379236148,0.002,0.01,0.00991666666666667,0.132222222222222,"Bradi1g00580.v3.2","AT1G16270","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","",""
"HOG:0023530","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",13,7,0.216666666666667,0.116666666666667,0.1,8,0,2,2.15430861723447,6.03441860465116,0.002,0.01,0.00991666666666667,0.132222222222222,"Bradi1g23340.v3.2","AT4G26640","WRKY family transcription factor family protein","LOC_Os07g39480","WRKY87, expressed"
"HOG:0022896","annual","any_regulator;gene_expression_regulator;chromatin_regulator",19,12,0.316666666666667,0.2,0.116666666666667,11,3,2,3.66332665330661,5.18654266958425,0.002,0.012,0.00991666666666667,0.1428,"Bradi1g59325.v3.2","AT5G15540","PHD finger family protein","LOC_Os07g01940","sister chromatid cohesion 2, putative, expressed"
"HOG:0026742","annual","any_regulator;gene_expression_regulator;transcription_regulator",32,26,0.533333333333333,0.433333333333333,0.1,12,7,3,4.44488977955912,7.19927862939585,0.002,0.03,0.00991666666666667,0.324545454545455,"Bradi2g16647.v3.2; Bradi2g46230.v3.2","AT5G44180","Homeodomain-like transcriptional regulator","LOC_Os05g48820","DDT, putative, expressed"
"HOG:0027298","annual","any_regulator;ubiquitin_transferase",6,1,0.1,0.0166666666666667,0.0833333333333333,5,0,3,2.22645290581162,2.6948694869487,0.018,0.052,0.0738620689655172,0.504,"Bradi2g34820.v3.2","AT3G17205","ubiquitin protein ligase 6","LOC_Os05g06690","HECT-domain domain containing protein, expressed"
"HOG:0026845","annual","any_regulator;gene_expression_regulator;transcription_regulator",6,2,0.1,0.0333333333333333,0.0666666666666667,5,0,1,1.7434869739479,3.44137931034483,0.008,0.06,0.0366153846153846,0.504,"Bradi3g34200.v3.2","AT4G17880","Basic helix-loop-helix (bHLH) DNA-binding family protein","LOC_Os10g42430","transcription factor MYC7E, putative, expressed"
"HOG:0025959","annual","any_regulator;gene_expression_regulator;transcription_regulator;chromatin_regulator",26,22,0.433333333333333,0.366666666666667,0.0666666666666667,9,5,3,3.63927855711423,7.1442731277533,0.002,0.064,0.00991666666666667,0.504,"Bradi3g03330.v3.2","AT1G16710","histone acetyltransferase of the CBP family 12","LOC_Os02g04490","histone acetyltransferase HAC1, putative, expressed"
"HOG:0028306","annual","any_regulator;protein_kinase",2,0,0.0333333333333333,0,0.0333333333333333,2,0,1,1.60320641282565,1.2475,0.484,0.064,1,0.504,"Bradi4g44427.v3.2","AT3G51630","with no lysine (K) kinase 5","LOC_Os11g02305","expressed protein"
"HOG:0025962","annual","any_regulator;gene_expression_regulator;chromatin_regulator",22,16,0.366666666666667,0.266666666666667,0.1,11,3,2,4.32665330661323,5.08476146364057,0.002,0.072,0.00991666666666667,0.504,"Bradi1g45620.v3.2; Bradi3g15380.v3.2","AT3G20010","SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related","LOC_Os08g08220","EDA16, putative, expressed"
"HOG:0025927","annual","any_regulator;gene_expression_regulator;transcription_regulator",9,4,0.15,0.0666666666666667,0.0833333333333333,9,0,1,2.84769539078156,3.16045038705137,0.002,0.072,0.00991666666666667,0.504,"Bradi2g43077.v3.2","","","LOC_Os01g42260","transcriptional corepressor LEUNIG, putative, expressed"
"HOG:0006401","annual","any_regulator;ubiquitin_transferase",2,1,0.0333333333333333,0.0166666666666667,0.0166666666666667,1,0,2,2.32865731462926,0.858864027538726,0.696,0.098,1,0.647888888888889,"Bradi1g16140.v3.2","AT5G15400","U-box domain-containing protein","LOC_Os03g31400","U-box domain-containing protein, putative, expressed"
"HOG:0012089","annual","any_regulator;protein_kinase",4,1,0.0666666666666667,0.0166666666666667,0.05,4,0,1,2.22645290581162,1.7965796579658,0.184,0.13,0.57621052631579,0.81421052631579,"Bradi3g52607.v3.2","AT5G35980","yeast YAK1-related gene 1","LOC_Os02g47410","protein kinase, putative, expressed"
"HOG:0029907","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",1,0,0.0166666666666667,0,0.0166666666666667,1,0,1,1.83967935871743,0.543572984749455,0.864,0.16,1,0.952,"Bradi3g35850.v3.2; Bradi3g56180.v3.2","AT3G01470","homeobox 1","LOC_Os08g32085; LOC_Os02g49700","expressed protein; homeobox associated leucine zipper, putative, expressed"
"HOG:0031321","annual","any_regulator;protein_kinase",8,5,0.133333333333333,0.0833333333333333,0.05,2,2,3,6.52304609218437,1.22642089093702,0.33,0.182,0.946333333333333,1,"Bradi4g22180.v3.2","AT4G31390","Protein kinase superfamily protein","LOC_Os11g11000","ELMO/CED-12 family protein, putative, expressed"
"HOG:0017160","annual","any_regulator;gene_expression_regulator;chromatin_regulator",4,1,0.0666666666666667,0.0166666666666667,0.05,3,0,2,3.80360721442886,1.05163329820864,0.53,0.188,1,1,"Bradi4g35150.v3.2","AT1G05910","cell division cycle protein 48-related / CDC48-related","LOC_Os09g33980","bromodomain protein 103, putative, expressed"
"HOG:0020291","annual","any_regulator;protein_kinase",4,0,0.0666666666666667,0,0.0666666666666667,3,0,2,4.46693386773547,0.895468820098699,0.658,0.196,1,1,"Bradi1g45040.v3.2","","","LOC_Os06g12590","protein kinase, putative, expressed"
"HOG:0005981","annual","any_regulator;gene_expression_regulator;chromatin_regulator",15,12,0.25,0.2,0.05,8,1,2,2.83166332665331,5.29723991507431,0.002,0.208,0.00991666666666667,1,"Bradi1g46180.v3.2","AT1G77800","PHD finger family protein","LOC_Os06g10690","PHD-finger domain containing protein, putative, expressed"
"HOG:0025924","annual","any_regulator;gene_expression_regulator;transcription_regulator",2,0,0.0333333333333333,0,0.0333333333333333,2,0,1,1.84168336673347,1.08596300326442,0.534,0.236,1,1,"Bradi3g55060.v3.2","AT2G32700","LEUNIG_homolog","LOC_Os02g56880","transcriptional corepressor LEUNIG, putative, expressed"
"HOG:0025949","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.64128256513026,0,1,0.238,1,1,"Bradi1g42257.v3.2","AT5G14720","Protein kinase superfamily protein","LOC_Os06g29120","STE_PAK_Ste20_STLK.5 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0007888","annual","any_regulator;protein_kinase",3,2,0.05,0.0333333333333333,0.0166666666666667,2,0,1,2.66132264529058,1.12725903614458,0.516,0.24,1,1,"Bradi3g60210.v3.2","AT5G57610","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","LOC_Os02g54510","protein kinase domain containing protein, expressed"
"HOG:0027147","annual","any_regulator;protein_kinase",6,4,0.1,0.0666666666666667,0.0333333333333333,2,2,2,4.9438877755511,1.21361978111066,0.376,0.264,1,1,"Bradi3g10350.v3.2","AT2G20050","protein serine/threonine phosphatases;protein kinases;catalytics;cAMP-dependent protein kinase regulators;ATP binding;protein serine/threonine phosphatases","LOC_Os02g17970","AGC_PKA/PKG_like.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
"HOG:0023057","annual","any_regulator;gene_expression_regulator;chromatin_regulator",3,0,0.05,0,0.05,2,0,2,3.49098196392786,0.859357060849598,0.702,0.266,1,1,"Bradi1g52407.v3.2","","","LOC_Os06g01170","PHD-finger domain containing protein, expressed"
"HOG:0028316","annual","any_regulator;gene_expression_regulator;transcription_regulator",2,2,0.0333333333333333,0.0333333333333333,0,1,0,1,1.39879759519038,1.4297994269341,0.41,0.266,1,1,"Bradi3g16515.v3.2","AT1G01060","Homeodomain-like superfamily protein","LOC_Os08g06110","MYB family transcription factor, putative, expressed"
"HOG:0006332","annual","any_regulator;gene_expression_regulator;chromatin_regulator",34,31,0.566666666666667,0.516666666666667,0.0499999999999999,11,8,2,4.25050100200401,7.999057048562,0.002,0.27,0.00991666666666667,1,"Bradi1g18770.v3.2","AT5G12400","DNA binding;zinc ion binding;DNA binding","LOC_Os07g46690","PHD-finger family protein, expressed"
"HOG:0025376","annual","any_regulator;protein_kinase",3,1,0.05,0.0166666666666667,0.0333333333333333,3,0,2,1.88577154308617,1.59086078639745,0.274,0.296,0.8211,1,"Bradi1g74480.v3.2","AT1G08720","Protein kinase superfamily protein","LOC_Os03g06410","protein kinase domain containing protein, expressed"
"HOG:0031142","annual","any_regulator;protein_kinase",4,1,0.0666666666666667,0.0166666666666667,0.05,4,0,2,2.86973947895792,1.39385474860335,0.334,0.326,0.946333333333333,1,"Bradi1g28280.v3.2","AT5G24360","inositol requiring 1-1","LOC_Os07g28820","ribonuclease 2-5A family protein, expressed"
"HOG:0025293","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,2.72745490981964,0,1,0.332,1,1,"Bradi1g67100.v3.2","AT3G55770","GATA type zinc finger transcription factor family protein","LOC_Os03g15940","OsWLIM2 - LIM domain protein, putative actin-binding protein and transcription factor, expressed"
"HOG:0026549","annual","any_regulator;gene_expression_regulator;transcription_regulator",1,1,0.0166666666666667,0.0166666666666667,0,1,0,1,3.93787575150301,0.253944020356234,0.986,0.348,1,1,"Bradi1g32330.v3.2; Bradi3g51757.v3.2","AT5G52660","Homeodomain-like superfamily protein","LOC_Os06g45840; LOC_Os02g45670","MYB transcription factor, putative, expressed; myb-like DNA-binding domain containing protein, expressed"
"HOG:0022830","annual","any_regulator;protein_kinase",7,5,0.116666666666667,0.0833333333333333,0.0333333333333333,2,2,2,7.00400801603206,0.999427753934192,0.574,0.358,1,1,"Bradi5g07360.v3.2","AT5G58140","phototropin 2","LOC_Os04g23890","AGC_PVPK_like_kin82y.10 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
"HOG:0018708","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,1.26653306613226,0,1,0.36,1,1,"Bradi1g11800.v3.2","AT5G12840","nuclear factor Y, subunit A1","LOC_Os03g48970","nuclear transcription factor Y subunit, putative, expressed"
"HOG:0032593","annual","any_regulator;protein_kinase",7,6,0.116666666666667,0.1,0.0166666666666667,2,2,1,7.09018036072144,0.98728094968909,0.586,0.362,1,1,"Bradi2g17660.v3.2","AT1G68830","STT7 homolog STN7","LOC_Os05g47560","serine/threonine-protein kinase SNT7, chloroplast precursor, putative, expressed"
"HOG:0012057","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",2,0,0.0333333333333333,0,0.0333333333333333,2,0,1,2.02404809619239,0.988118811881188,0.614,0.396,1,1,"Bradi1g63780.v3.2","AT2G27050","ETHYLENE-INSENSITIVE3-like 1","LOC_Os03g20780","ethylene-insensitive 3, putative, expressed"
"HOG:0006186","annual","any_regulator;protein_kinase",0,1,0,0.0166666666666667,-0.0166666666666667,0,0,0,0.360721442885772,0,1,0.41,1,1,"Bradi1g25180.v3.2","AT1G61610","S-locus lectin protein kinase family protein","LOC_Os07g36590","serine/threonine-protein kinase receptor precursor, putative, expressed"
"HOG:0004137","annual","any_regulator;gene_expression_regulator;chromatin_regulator",21,20,0.35,0.333333333333333,0.0166666666666667,9,4,2,3.16432865731463,6.63647878404053,0.002,0.426,0.00991666666666667,1,"Bradi1g18910.v3.2","AT2G13370","chromatin remodeling 5","LOC_Os07g46590","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0025826","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,0.735470941883767,0,1,0.434,1,1,"Bradi3g48360.v3.2","AT3G59830","Integrin-linked protein kinase family","LOC_Os02g39560","non-receptor tyrosine kinase spore lysis A, putative, expressed"
"HOG:0010571","annual","any_regulator;protein_kinase",7,5,0.116666666666667,0.0833333333333333,0.0333333333333333,2,2,2,7.73346693386774,0.905156776366934,0.668,0.438,1,1,"Bradi3g55317.v3.2","AT3G24190","Protein kinase superfamily protein","LOC_Os02g57160","ELMO/CED-12 family protein, putative, expressed"
"HOG:0023849","annual","any_regulator;protein_kinase",1,0,0.0166666666666667,0,0.0166666666666667,1,0,1,2.20040080160321,0.454462659380692,0.884,0.44,1,1,"Bradi4g04470.v3.2","AT3G06630","protein kinase family protein","LOC_Os12g37570","protein kinase family protein, putative, expressed"
"HOG:0022337","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.03807615230461,0,1,0.474,1,1,"Bradi1g11090.v3.2","AT2G01570","GRAS family transcription factor family protein","LOC_Os03g49990","GRAS family transcription factor domain containing protein, expressed"
"HOG:0020499","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,0.591182364729459,0,1,0.476,1,1,"Bradi1g38340.v3.2","","","LOC_Os06g35160","CAMK_KIN1/SNF1/Nim1_like.26 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"HOG:0025823","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,0.917835671342686,0,1,0.49,1,1,"Bradi1g20390.v3.2","AT1G14000","VH1-interacting kinase","LOC_Os07g43900","protein kinase domain containing protein, expressed"
"HOG:0029398","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.48496993987976,0,1,0.49,1,1,"Bradi4g08410.v3.2","AT2G32800","protein kinase family protein","LOC_Os11g25860","protein Kinase, putative, expressed"
"HOG:0020290","annual","any_regulator;protein_kinase",0,1,0,0.0166666666666667,-0.0166666666666667,0,0,0,0.42685370741483,0,1,0.502,1,1,"Bradi3g08260.v3.2","AT5G11850","Protein kinase superfamily protein","LOC_Os02g12810","protein kinase domain containing protein, expressed"
"HOG:0006124","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.53507014028056,0,1,0.516,1,1,"Bradi1g63320.v3.2","AT3G51550","Malectin/receptor-like protein kinase family protein","LOC_Os01g56330","TKL_IRAK_CrRLK1L-1.5 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed"
"HOG:0012191","annual","any_regulator;protein_kinase",5,4,0.0833333333333333,0.0666666666666667,0.0166666666666667,5,0,1,1.72344689378758,2.90116279069767,0.026,0.518,0.0937575757575757,1,"Bradi3g18150.v3.2","AT4G31170","Protein kinase superfamily protein","LOC_Os08g12750","serine/threonine-protein kinase HT1, putative, expressed"
"HOG:0025828","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.22845691382766,0,1,0.526,1,1,"Bradi2g15900.v3.2","AT2G46340","SPA (suppressor of phyA-105) protein family","LOC_Os05g49590","suppressor of phythchrome A, putative, expressed"
"HOG:0025011","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,0.691382765531062,0,1,0.528,1,1,"Bradi4g40160.v3.2","AT5G49780","Leucine-rich repeat protein kinase family protein","LOC_Os12g10740","leucine-rich repeat family protein, putative, expressed"
"HOG:0010710","annual","any_regulator;protein_kinase",6,6,0.1,0.1,0,2,2,2,6.48296593186373,0.925502318392581,0.648,0.536,1,1,"Bradi2g30567.v3.2","AT1G79600","Protein kinase superfamily protein","LOC_Os05g25840","ELMO/CED-12 family protein, putative, expressed"
"HOG:0024316","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.20841683366733,0,1,0.538,1,1,"Bradi1g67050.v3.2","AT2G35620","Leucine-rich repeat protein kinase family protein","LOC_Os03g16010","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
"HOG:0021140","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,0.857715430861723,0,1,0.552,1,1,"Bradi2g37800.v3.2","AT2G28550","related to AP2.7","LOC_Os05g03040","AP2 domain containing protein, expressed"
"HOG:0020504","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.69338677354709,0,1,0.556,1,1,"Bradi1g17810.v3.2","","","LOC_Os07g48090","CAMK_KIN1/SNF1/Nim1_like.30 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"HOG:0006399","annual","any_regulator;protein_kinase",7,6,0.116666666666667,0.1,0.0166666666666667,7,0,2,2.73947895791583,2.55523043160205,0.022,0.558,0.0844516129032258,1,"Bradi5g24870.v3.2","AT3G07980","mitogen-activated protein kinase kinase kinase 6","LOC_Os04g56530","STE_MEKK_ste11_MAP3K.1 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0026114","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",1,0,0.0166666666666667,0,0.0166666666666667,1,0,1,2.12024048096192,0.47164461247637,0.894,0.56,1,1,"Bradi3g58220.v3.2","","","LOC_Os02g52340","OsMADS22 - MADS-box family gene with MIKCc type-box, expressed"
"HOG:0025827","annual","any_regulator;protein_kinase",3,2,0.05,0.0333333333333333,0.0166666666666667,2,0,1,5.03006012024048,0.596414342629482,0.892,0.57,1,1,"Bradi2g48657.v3.2","AT3G15354","SPA1-related 3","LOC_Os01g52640","suppressor of phythchrome A, putative, expressed"
"HOG:0024535","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,0.659318637274549,0,1,0.574,1,1,"Bradi2g31100.v3.2","AT1G07470","Transcription factor IIA, alpha/beta subunit","LOC_Os05g22670","transcription factor IIA large subunit, putative, expressed"
"HOG:0027460","annual","any_regulator;gene_expression_regulator;transcription_regulator",1,2,0.0166666666666667,0.0333333333333333,-0.0166666666666667,1,0,1,1.26452905811623,0.79080824088748,0.722,0.584,1,1,"Bradi1g62640.v3.2","AT1G09060","Zinc finger, RING-type;Transcription factor jumonji/aspartyl beta-hydroxylase","LOC_Os03g22540","jmjC domain containing protein, expressed"
"HOG:0025163","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.64328657314629,0,1,0.59,1,1,"Bradi1g34700.v3.2","AT3G18040","MAP kinase 9","LOC_Os06g49430","CGMC_MAPKCMGC_2.11 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
"HOG:0000246","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.64128256513026,0,1,0.594,1,1,"Bradi1g63530.v3.2","AT2G20400","myb-like HTH transcriptional regulator family protein","LOC_Os03g21240","myb-like DNA-binding domain containing protein, expressed"
"HOG:0032141","annual","any_regulator;gene_expression_regulator;transcription_regulator",22,22,0.366666666666667,0.366666666666667,0,11,2,1,3.26052104208417,6.74738783036263,0.002,0.596,0.00991666666666667,1,"Bradi1g78550.v3.2","AT1G02080","transcription regulators","",""
"HOG:0022935","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.36072144288577,0,1,0.602,1,1,"Bradi1g18450.v3.2","AT1G54610","Protein kinase superfamily protein","LOC_Os07g47180","transposon protein, putative, unclassified, expressed"
"HOG:0025908","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,0.719438877755511,0,1,0.61,1,1,"Bradi1g23350.v3.2","AT5G48150","GRAS family transcription factor","LOC_Os07g39470","gibberellin response modulator protein, putative, expressed"
"HOG:0033206","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,1.51703406813627,0,1,0.632,1,1,"Bradi5g23340.v3.2","AT1G77920","bZIP transcription factor family protein","LOC_Os04g54474","transcription factor, putative, expressed"
"HOG:0027139","annual","any_regulator;protein_kinase",1,2,0.0166666666666667,0.0333333333333333,-0.0166666666666667,1,0,0,4.70541082164329,0.21252129471891,0.996,0.638,1,1,"Bradi1g30720.v3.2","","","LOC_Os06g43840","protein kinase domain containing protein, expressed"
"HOG:0016706","annual","any_regulator;gene_expression_regulator;chromatin_regulator",1,0,0.0166666666666667,0,0.0166666666666667,1,0,1,4.92384769539078,0.203093203093203,1,0.646,1,1,"Bradi2g12950.v3.2; Bradi2g35740.v3.2","AT3G06400","chromatin-remodeling protein 11","ChrUn.fgenesh.gene.85; LOC_Os05g05780","expressed protein; chromatin-remodeling complex ATPase chain, putative, expressed"
"HOG:0005690","annual","any_regulator;gene_expression_regulator;chromatin_regulator",0,2,0,0.0333333333333333,-0.0333333333333333,0,0,0,5.15831663326653,0,1,0.652,1,1,"Bradi1g50860.v3.2; Bradi2g18330.v3.2; Bradi3g46800.v3.2; Bradi5g12347.v3.2","AT4G26110; AT1G74560","nucleosome assembly protein1;1; NAP1-related protein 1","LOC_Os06g05660; LOC_Os05g46230; LOC_Os02g36710; LOC_Os04g38620","NAP domain containing protein, putative, expressed; SET, putative, expressed"
"HOG:0017733","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,2.7374749498998,0,1,0.658,1,1,"Bradi4g04720.v3.2","AT3G62420","basic region/leucine zipper motif 53","LOC_Os12g37415","expressed protein"
