"hog","BDIS","BSYL","HVUL","HJUB","BMAX","BMED","VBRO","FPRA","n_species","mean_q","max_q","mean_effect_size","n_edges","n_missing","intensity","coherence","min_effect_size","gene_signature","n_multicopy_species","max_reduced_copies","anchor_id","selection_stratum"
"HOG:0020610","Bradi4g08030.v3.2","Brasyl.5G099700.v2.1","HORVU.MOREX.r3.1HG0025580.V3","HJUBATUM.BCC2055.r1.5H_1G00479040","gene-Bmax_egapxtmp_012136","BMED2_gene-Bmax_egapxtmp_012136","VULPIA.BROMOIDES.r1.ctg99G00574300","gene-Fpra_egapxtmp_033537",8,2.88305087642318e-72,5.03364743147197e-71,6.71831291159206,28,0,1,1,5.6536696542983,"Bradi4g08030.v3.2|Brasyl.5G099700.v2.1|HORVU.MOREX.r3.1HG0025580.V3|HJUBATUM.BCC2055.r1.5H_1G00479040|gene-Bmax_egapxtmp_012136|BMED2_gene-Bmax_egapxtmp_012136|VULPIA.BROMOIDES.r1.ctg99G00574300|gene-Fpra_egapxtmp_033537",1,3,"anchor_01","multi-copy-resolved"
"HOG:0020076","Bradi3g56270.v3.2","Brasyl.4G055600.v2.1","HORVU.MOREX.r3.4HG0387270.V3","HJUBATUM.BCC2055.r1.4H_1G00420440","gene-Bmax_egapxtmp_030796","BMED2_gene-Bmax_egapxtmp_030796","VULPIA.BROMOIDES.r1.ctg16G00138670","gene-Fpra_egapxtmp_040928",8,5.31970574913563e-70,1.04173111492236e-68,6.92250819297025,28,0,1,1,6.09569155816658,"Bradi3g56270.v3.2|Brasyl.4G055600.v2.1|HORVU.MOREX.r3.4HG0387270.V3|HJUBATUM.BCC2055.r1.4H_1G00420440|gene-Bmax_egapxtmp_030796|BMED2_gene-Bmax_egapxtmp_030796|VULPIA.BROMOIDES.r1.ctg16G00138670|gene-Fpra_egapxtmp_040928",0,1,"anchor_02","strongest-remainder"
"HOG:0011532","Bradi4g01430.v3.2","Brasyl.5G015900.v2.1","HORVU.MOREX.r3.5HG0426300.V3","HJUBATUM.BCC2055.r1.5H_1G00477690","gene-Bmax_egapxtmp_033714","BMED2_gene-Bmax_egapxtmp_033714","VULPIA.BROMOIDES.r1.ctg68G00483420","gene-Fpra_egapxtmp_004119",8,5.8837162302341e-68,1.64510719749651e-66,7.32806503205192,28,0,1,1,6.24444170682399,"Bradi4g01430.v3.2|Brasyl.5G015900.v2.1|HORVU.MOREX.r3.5HG0426300.V3|HJUBATUM.BCC2055.r1.5H_1G00477690|gene-Bmax_egapxtmp_033714|BMED2_gene-Bmax_egapxtmp_033714|VULPIA.BROMOIDES.r1.ctg68G00483420|gene-Fpra_egapxtmp_004119",0,1,"anchor_03","strongest-remainder"
"HOG:0019394","Bradi3g16187.v3.2","Brasyl.3G041500.v2.1","HORVU.MOREX.r3.7HG0695920.V3","HJUBATUM.BCC2055.r1.7H_1G00768700","gene-Bmax_egapxtmp_002685","BMED2_gene-Bmax_egapxtmp_002685","VULPIA.BROMOIDES.r1.ctg47G00449510","gene-Fpra_egapxtmp_037065",8,3.58460983616917e-67,9.56552674627906e-66,6.91238523421927,28,0,1,1,5.88828250442249,"Bradi3g16187.v3.2|Brasyl.3G041500.v2.1|HORVU.MOREX.r3.7HG0695920.V3|HJUBATUM.BCC2055.r1.7H_1G00768700|gene-Bmax_egapxtmp_002685|BMED2_gene-Bmax_egapxtmp_002685|VULPIA.BROMOIDES.r1.ctg47G00449510|gene-Fpra_egapxtmp_037065",0,1,"anchor_04","strongest-remainder"
"HOG:0006205","Bradi1g30273.v3.2","Brasyl.7G240500.v2.1","HORVU.MOREX.r3.7HG0746380.V3","HJUBATUM.BCC2055.r1.7H_1G00822850","gene-Bmax_egapxtmp_000219","BMED2_gene-Bmax_egapxtmp_000219","VULPIA.BROMOIDES.r1.ctg4G00416640","gene-Fpra_egapxtmp_022042",8,4.36119186365397e-64,7.45638203113323e-63,6.93245346169242,28,0,1,1,6.03545486589462,"Bradi1g30273.v3.2|Brasyl.7G240500.v2.1|HORVU.MOREX.r3.7HG0746380.V3|HJUBATUM.BCC2055.r1.7H_1G00822850|gene-Bmax_egapxtmp_000219|BMED2_gene-Bmax_egapxtmp_000219|VULPIA.BROMOIDES.r1.ctg4G00416640|gene-Fpra_egapxtmp_022042",0,1,"anchor_05","strongest-remainder"
"HOG:0028766","Bradi1g26350.v3.2","Brasyl.6G113200.v2.1","HORVU.MOREX.r3.2HG0141490.V3","HJUBATUM.BCC2055.r1.2H_1G00148400","gene-Bmax_egapxtmp_004152","BMED2_gene-Bmax_egapxtmp_004152","VULPIA.BROMOIDES.r1.ctg105G00019210","gene-Fpra_egapxtmp_018100",8,5.819169109038e-64,1.62936540611907e-62,6.97905465024423,28,0,1,1,5.79243264982607,"Bradi1g26350.v3.2|Brasyl.6G113200.v2.1|HORVU.MOREX.r3.2HG0141490.V3|HJUBATUM.BCC2055.r1.2H_1G00148400|gene-Bmax_egapxtmp_004152|BMED2_gene-Bmax_egapxtmp_004152|VULPIA.BROMOIDES.r1.ctg105G00019210|gene-Fpra_egapxtmp_018100",0,1,"anchor_06","strongest-remainder"
"HOG:0011862","Bradi1g76470.v3.2","Brasyl.2G029800.v2.1","HORVU.MOREX.r3.2HG0173220.V3","HJUBATUM.BCC2055.r1.2H_1G00179830","gene-Bmax_egapxtmp_008518","BMED2_gene-Bmax_egapxtmp_008518","VULPIA.BROMOIDES.r1.ctg16G00160060","gene-Fpra_egapxtmp_020445",8,1.61015100530153e-60,4.04718371238708e-59,6.87120272418345,28,0,1,1,5.95120621398842,"Bradi1g76470.v3.2|Brasyl.2G029800.v2.1|HORVU.MOREX.r3.2HG0173220.V3|HJUBATUM.BCC2055.r1.2H_1G00179830|gene-Bmax_egapxtmp_008518|BMED2_gene-Bmax_egapxtmp_008518|VULPIA.BROMOIDES.r1.ctg16G00160060|gene-Fpra_egapxtmp_020445",0,1,"anchor_07","strongest-remainder"
"HOG:0006123","Bradi1g36260.v3.2","Brasyl.5G272600.v2.1","HORVU.MOREX.r3.4HG0349070.V3","HJUBATUM.BCC2055.r1.4H_1G00373410","gene-Bmax_egapxtmp_035888","BMED2_gene-Bmax_egapxtmp_035888","VULPIA.BROMOIDES.r1.ctg12G00038540","gene-Fpra_egapxtmp_002441",8,2.14935568726602e-60,4.10312364825522e-59,7.02425184624033,28,0,1,1,6.038800387801,"Bradi1g36260.v3.2|Brasyl.5G272600.v2.1|HORVU.MOREX.r3.4HG0349070.V3|HJUBATUM.BCC2055.r1.4H_1G00373410|gene-Bmax_egapxtmp_035888|BMED2_gene-Bmax_egapxtmp_035888|VULPIA.BROMOIDES.r1.ctg12G00038540|gene-Fpra_egapxtmp_002441",8,5,"anchor_08","multi-copy-resolved"
"HOG:0029484","Bradi5g14210.v3.2","Brasyl.9G148300.v2.1","HORVU.MOREX.r3.2HG0177550.V3","HJUBATUM.BCC2055.r1.2H_1G00184500","gene-Bmax_egapxtmp_007896","BMED2_gene-Bmax_egapxtmp_007896","VULPIA.BROMOIDES.r1.ctg23G00288320","gene-Fpra_egapxtmp_029796",8,1.63765129445052e-60,4.57882929696581e-59,6.86765131672621,28,0,1,1,5.78947556933665,"Bradi5g14210.v3.2|Brasyl.9G148300.v2.1|HORVU.MOREX.r3.2HG0177550.V3|HJUBATUM.BCC2055.r1.2H_1G00184500|gene-Bmax_egapxtmp_007896|BMED2_gene-Bmax_egapxtmp_007896|VULPIA.BROMOIDES.r1.ctg23G00288320|gene-Fpra_egapxtmp_029796",8,3,"anchor_09","multi-copy-resolved"
"HOG:0023085","Bradi1g06430.v3.2","Brasyl.2G342600.v2.1","HORVU.MOREX.r3.2HG0152860.V3","HJUBATUM.BCC2055.r1.2H_1G00163390","gene-Bmax_egapxtmp_013043","BMED2_gene-Bmax_egapxtmp_013043","VULPIA.BROMOIDES.r1.ctg23G00268920","gene-Fpra_egapxtmp_000926",8,4.46424353462003e-60,1.21164073022183e-58,7.14476050733552,28,0,1,1,5.84144600481535,"Bradi1g06430.v3.2|Brasyl.2G342600.v2.1|HORVU.MOREX.r3.2HG0152860.V3|HJUBATUM.BCC2055.r1.2H_1G00163390|gene-Bmax_egapxtmp_013043|BMED2_gene-Bmax_egapxtmp_013043|VULPIA.BROMOIDES.r1.ctg23G00268920|gene-Fpra_egapxtmp_000926",8,4,"anchor_10","multi-copy-resolved"
