"direction","hog","bdis_gene","bdis_uniprot","orthodb_viridiplantae","resolved_family","reference_orthologue","orthology_status","experimental_evidence","doi","pmid","interpretation"
"annual","HOG:0027918","Bradi4g35977","A0A0Q3EUI2","673750at33090","NERD/C3H19-like chromatin protein","AT2G16485 / NERD / Q9SIV5","high-confidence closest orthologue; strict one-to-one status not proven","Arabidopsis NERD binds histone H3 and AGO2 and defines a noncanonical siRNA-dependent DNA-methylation pathway","10.1016/j.molcel.2012.07.027","22940247","Direct chromatin-silencing evidence; no direct flowering or life-history evidence"
"annual","HOG:0025149","Bradi1g26940","A0A0Q3JDT3","609528at33090","CHR4/PKR1 chromatin remodeler","AT5G44800 / CHR4 / F4KBP5","strong probable one-to-one orthologue","Arabidopsis CHR4 interacts with floral-meristem identity factors and regulates floral genes in the inflorescence meristem","10.1105/tpc.19.00992","32132131","Strong direct floral-transition and meristem evidence in Arabidopsis"
"annual","HOG:0011541","Bradi3g01297","A0A0Q3PTS7","402030at33090","BRAHMA SWI/SNF ATPase","AT2G46020 / BRM / Q6EVK6","strong probable one-to-one orthologue","Arabidopsis BRM controls shoot and flower development; loss alters flowering time and floral-organ development","10.1242/dev.01363","15371304","Strong direct flowering and meristem evidence in Arabidopsis"
"annual","HOG:0025959","Bradi3g03330","I1HX10","801603at33090","CBP/p300-family HAC histone acetyltransferase","AT1G79000 / HAC1 / Q9C5X9; AT1G16710 / HAC12 / Q9FWQ5","family-level co-orthology; HAC1 is the closest sequence hit but only marginally closer than HAC12","Arabidopsis HAC1 mutants flower late and show reduced fertility; this evidence is conditional on the paralogue assignment","10.1104/pp.106.095521","17416640","Strong flowering mechanism at family level; requires a HAC gene tree before gene-specific transfer"
"annual","HOG:0010481","Bradi2g41720","I1HNT7","651119at33090","EAF1 NuA4-complex scaffold","AT3G24880 / EAF1A / F4J7T3; AT3G24870 / EAF1B","EAF1A/B co-orthology; not PIE1 and not uniquely assignable to EAF1A","Arabidopsis EAF1 proteins assemble NuA4; reduced EAF1 activity lowers H4K5 acetylation at flowering regulators, lowers FLC, and causes early flowering","10.1186/s12870-015-0461-1","25849764","Strong direct flowering mechanism for the Arabidopsis co-orthologue pair"
"perennial","HOG:0008697","Bradi1g76520","I1HA65","621451at33090","OST1A/Ribophorin I oligosaccharyltransferase subunit","AT1G76400 / OST1A / Q9SFX3","best OST1A orthologue; strict one-to-one status not proven","Arabidopsis OST-complex purification and mutant analysis establish OST1 as an N-glycosylation subunit required for normal growth","10.1111/tpj.13847","29385647","Direct ER glycosylation evidence; no direct flowering or perenniality evidence"
"perennial","HOG:0012511","Bradi1g54510","I1H2T1","750610at33090","COPI coatomer gamma subunit","AT4G34450 / gamma-COP / Q0WW26","grass gamma-COP co-orthologue; gamma-1 versus gamma-2 assignment is uncertain","Arabidopsis gamma-COP knockout has a mild but direct defect in compatible-pollen acceptance","10.1007/s00497-020-00387-9","32277349","Direct reproductive and trafficking evidence, but no flowering-time evidence"
"perennial","HOG:0006523","Bradi2g08960","I1HDY9","746207at33090","Importin-alpha","Os01g0253300 / importin-alpha1a / Q71VM4","family-level assignment with multiple close grass and Arabidopsis paralogues","Rice importin-alpha1a is light regulated and has direct NLS-binding, nuclear-import, and structural evidence","10.1016/S0378-1119(98)00175-9; 10.1105/tpc.112.104422","9678973; 23250448","Strong molecular evidence but weak cargo-specific and life-history interpretation"
"perennial","HOG:0028661","Bradi2g57350","I1HU48","541714at33090","Signal recognition particle subunit SRP72","AT1G67650 / SRP72 / Q9FXD1","probable orthologue with a recent Arabidopsis duplication","No direct plant SRP72 mutant or biochemical study was located; ER targeting is conserved-family inference","", "","Plausible ER-targeting component but weak direct plant experimental support"
"perennial","HOG:0028440","Bradi2g45380","I1HPZ3","788813at33090","TWD40-2-like TPLATE-complex subunit","AT5G24710 / TWD40-2 / F4KIH8","strong probable one-to-one orthologue","Arabidopsis TWD40-2 is an integral TPLATE endocytic adaptor; mutants impair cellulose-synthase endocytosis and reduce cellulose","10.1016/j.cell.2014.01.039; 10.1073/pnas.1509292112","24529374; 26417106","Strong endocytosis and cell-wall mechanism; no direct annual-perennial evidence"
