Species1	Species2	OrthoGroup
GeneA_001	GeneB_001	1
GeneA_002	GeneB_002	2
GeneA_003	GeneB_003	3
GeneA_004	GeneB_004	4
GeneA_005	GeneB_005	5
GeneA_006	GeneB_006	6
GeneA_007	GeneB_007	7
GeneA_008	GeneB_008	8
GeneA_009	GeneB_009	9
GeneA_010	GeneB_010	10
GeneA_011	GeneB_011	11
GeneA_012	GeneB_012	12
GeneA_013	GeneB_013	13
GeneA_014	GeneB_014	14
GeneA_015	GeneB_015	15
GeneA_016	GeneB_016	16
GeneA_017	GeneB_017	17
GeneA_018	GeneB_018	18
GeneA_019	GeneB_019	19
GeneA_020	GeneB_020	20
GeneA_021	GeneB_021	21
GeneA_022	GeneB_022	22
GeneA_023	GeneB_023	23
GeneA_024	GeneB_024	24
GeneA_025	GeneB_025	25
GeneA_026	GeneB_026	26
GeneA_027	GeneB_027	27
GeneA_028	GeneB_028	28
GeneA_029	GeneB_029	29
GeneA_030	GeneB_030	30
GeneA_001	GeneB_031	1
GeneA_002	GeneB_032	2
GeneA_003	GeneB_033	3
